date,state,death,negative,positive,positiveCasesViral,positiveIncrease,totalTestResults
2021-01-04,AK,218,1250686,46812,,260,1297498
2021-01-04,AL,4878,1601902,374095,301486,2161,1903388
2021-01-04,AR,3800,1901966,234781,193655,1306,2095621
2021-01-04,AS,0,2140,0,0,0,2140
2021-01-04,AZ,9064,2404314,561542,533275,5158,5288658
2021-01-04,CA,26635,31706119,2420894,2420894,29633,34127013
2021-01-04,CO,4944,1836933,343435,329079,2185,4529774
2021-01-04,CT,6168,4274224,194636,183310,4516,4468860
2021-01-04,DC,797,891215,29904,,140,921119
2021-01-04,DE,937,459087,60333,57842,849,1004179
2021-01-04,FL,22415,7520218,1352222,1154585,10935,16095888
2021-01-04,GA,10971,4891684,591106,591106,4030,5482790
2021-01-04,GU,123,89492,7344,7163,17,96836
2021-01-04,HI,289,295153,22527,22045,89,828410
2021-01-04,IA,3992,936813,242808,242808,701,1179621
2021-01-04,ID,1448,431201,142507,117898,308,549099
2021-01-04,IL,18412,12545491,984880,447491,5059,13530371
2021-01-04,IN,8514,2145368,529688,,3617,5814026
2021-01-04,KS,2897,792812,231317,,3572,1024129
2021-01-04,KY,2749,3000523,279143,224348,2317,3224871
2021-01-04,LA,7585,3943578,322181,292184,1123,4265759
2021-01-04,MA,12671,3698749,392568,375455,4906,11146494
2021-01-04,MD,6027,2569672,287802,287802,2483,5869617
2021-01-04,ME,360,1108013,25968,21998,376,1133981
2021-01-04,MI,13391,7750868,543611,502119,5490,8294479
2021-01-04,MN,5443,2611502,423688,408630,3144,5484851
2021-01-04,MO,5562,1664437,402957,402957,1196,3697356
2021-01-04,MP,2,17429,122,122,0,17551
2021-01-04,MS,4884,1127658,223677,151087,1616,1351335
2021-01-04,MT,975,728216,82664,82664,283,810880
2021-01-04,NC,6941,6597775,570111,521426,5187,7167886
2021-01-04,ND,1319,285673,93240,90096,199,1256505
2021-01-04,NE,1672,684070,169000,169000,738,1775908
2021-01-04,NH,781,488265,47328,34936,878,1055767
2021-01-04,NJ,19244,7309853,494317,494317,2275,7804170
2021-01-04,NM,2574,1865444,147315,,921,2012759
2021-01-04,NV,3206,970294,233032,233032,1414,2140442
2021-01-04,NY,30648,24955102,1028362,,11209,25983464
2021-01-04,OH,9143,7201856,727423,650929,5942,7929279
2021-01-04,OK,2552,2394318,306771,,2699,2701089
2021-01-04,OR,1506,2604321,118456,74629,711,2722777
2021-01-04,PA,16361,3301186,665097,595596,3226,3966283
2021-01-04,PR,1555,305972,78805,73957,636,384777
2021-01-04,RI,1855,557278,92708,,633,2046375
2021-01-04,SC,5484,2956766,325472,299685,3803,3282238
2021-01-04,SD,1513,275713,100643,91113,111,376356
2021-01-04,TN,7168,5138765,612250,534474,3953,5751015
2021-01-04,TX,27969,12590454,1811523,1598713,18182,14189167
2021-01-04,UT,1305,1316976,285633,255053,2160,2284687
2021-01-04,VA,5132,4076860,367536,306617,3771,4383477
2021-01-04,VI,23,34366,2042,,1,36408
2021-01-04,VT,144,259856,7873,7677,80,712861
2021-01-04,WA,3459,3664591,255396,245381,8644,3909972
2021-01-04,WI,5269,2365680,527871,487938,1626,5423138
2021-01-04,WV,1396,1474526,91886,74329,828,1566412
2021-01-04,WY,438,160673,45247,38742,372,514334
