"date","state","dataQualityGrade","death","deathConfirmed","deathIncrease","deathProbable","hospitalized","hospitalizedCumulative","hospitalizedCurrently","hospitalizedIncrease","inIcuCumulative","inIcuCurrently","negative","negativeIncrease","negativeTestsAntibody","negativeTestsPeopleAntibody","negativeTestsViral","onVentilatorCumulative","onVentilatorCurrently","positive","positiveCasesViral","positiveIncrease","positiveScore","positiveTestsAntibody","positiveTestsAntigen","positiveTestsPeopleAntibody","positiveTestsPeopleAntigen","positiveTestsViral","recovered","totalTestEncountersViral","totalTestEncountersViralIncrease","totalTestResults","totalTestResultsIncrease","totalTestsAntibody","totalTestsAntigen","totalTestsPeopleAntibody","totalTestsPeopleAntigen","totalTestsPeopleViral","totalTestsPeopleViralIncrease","totalTestsViral","totalTestsViralIncrease"
"2021-01-04","WA","B",3459,,-2,,15111,15111,1138,363,,248,3664591,64936,,,,,116,255396,245381,8644,0,,,,,,,3909972,73152,3909972,73152,,,,,,0,,0
"2021-01-03","WA","B",3461,,0,,14748,14748,1138,0,,248,3599655,0,,,,,118,246752,237165,0,0,,,,,,,3836820,0,3836820,0,,,,,,0,,0
"2021-01-02","WA","B",3461,,0,,14748,14748,1138,0,,248,3599655,0,,,,,118,246752,237165,0,0,,,,,,,3836820,0,3836820,0,,,,,,0,,0
"2021-01-01","WA","B",3461,,41,,14748,14748,1138,177,,248,3599655,27258,,,,,118,246752,237165,4422,0,,,,,,,3836820,31430,3836820,31430,,,,,,0,,0
"2020-12-31","WA","B",3420,,51,,14571,14571,1088,126,,235,3572397,5800,,,,,118,242330,232993,1484,0,,,,,,,3805390,7069,3805390,7069,,,,,,0,,0
"2020-12-30","WA","B",3369,,174,,14445,14445,1201,169,,245,3566597,27607,,,,,108,240846,231724,2174,0,,,,,,,3798321,29659,3798321,29659,,,,,,0,,0
"2020-12-29","WA","B",3195,,11,,14276,14276,1280,180,,265,3538990,56006,,,,,105,238672,229672,1953,0,,,,,,,3768662,57883,3768662,57883,,,,,,0,,0
"2020-12-28","WA","B",3184,,0,,14096,14096,1200,0,,243,3482984,0,,,,,90,236719,227795,0,0,,,,,,,3710779,0,3710779,0,,,,,,0,,0
"2020-12-27","WA","B",3184,,0,,14096,14096,1200,188,,243,3482984,58173,,,,,90,236719,227795,3626,0,,,,,,,3710779,61569,3710779,61569,,,,,,0,,0
"2020-12-26","WA","B",3184,,0,,13908,13908,1200,0,,243,3424811,0,,,,,108,233093,224399,0,0,,,,,,,3649210,0,3649210,0,,,,,,0,,0
"2020-12-25","WA","B",3184,,22,,13908,13908,1200,291,,243,3424811,25856,,,,,108,233093,224399,2891,0,,,,,,,3649210,28560,3649210,28560,,,,,,0,,0
"2020-12-24","WA","B",3162,,31,,13617,13617,1202,27,,263,3398955,28080,,,,,105,230202,221695,2315,0,,,,,,,3620650,30191,3620650,30191,,,,,,0,,0
"2020-12-23","WA","B",3131,,25,,13590,13590,774,75,,195,3370875,29595,,,,,97,227887,219584,1252,0,,,,,,,3590459,30764,3590459,30764,,,,,,0,,0
"2020-12-22","WA","B",3106,,2,,13515,13515,1207,124,,272,3341280,52169,,,,,128,226635,218415,4035,0,,,,,,,3559695,56118,3559695,56118,,,,,,0,,0
"2020-12-21","WA","B",3104,,0,,13391,13391,1175,0,,258,3289111,0,,,,,137,222600,214466,0,0,,,,,,,3503577,0,3503577,0,,,,,,0,,0
"2020-12-20","WA","B",3104,,0,,13391,13391,1175,100,,258,3289111,22766,,,,,137,222600,214466,2332,0,,,,,,,3503577,24949,3503577,24949,,,,,,0,,0
"2020-12-19","WA","B",3104,,-13,,13291,13291,1175,56,,258,3266345,40047,,,,,144,220268,212283,3063,0,,,,,,,3478628,45736,3478628,45736,,,,,,0,,0
"2020-12-18","WA","B",3117,,75,,13235,13235,1231,161,,273,3226298,0,,,,,150,217205,209344,2940,0,,,,,,,3432892,0,3432892,0,,,,,,0,,0
"2020-12-17","WA","B",3042,,89,,13074,13074,1233,301,,279,3226298,19691,,,,,141,214265,206594,61,0,,,,,,,3432892,21216,3432892,21216,,,,,,0,,0
